,Rank,POS,AVG,Sleeper,Player,Team,Bye,player_id,predicted_fantasy_points,position_group,replacement_value,vor,rank
1,2,RB2,2.5,,Christian McCaffrey,SF,4,00-0033280,466.99820068120954,RB,88.13559999167919,378.8626006895304,1.0
10,11,WR4,10.7,,Michael Thomas,NO,9,00-0032765,360.0729989683628,WR,16.998800196647643,343.07419877171515,2.0
45,47,WR19,46.0,,Chris Godwin,TB,7,00-0033921,276.8270031261444,WR,16.998800196647643,259.82820292949674,3.0
9,10,WR3,10.5,,Julio Jones,,,00-0027944,268.37220178723334,WR,16.998800196647643,251.3734015905857,4.0
4,5,WR1,5.3,,DeAndre Hopkins,,,00-0030564,267.87140040040015,WR,16.998800196647643,250.8726002037525,5.0
48,50,WR21,49.0,,Cooper Kupp,LAR,9,00-0033908,261.81299991056324,WR,16.998800196647643,244.8141997139156,6.0
23,24,WR11,25.2,,Keenan Allen,LAC,12,00-0030279,259.0365991771221,WR,16.998800196647643,242.0377989804745,7.0
29,30,WR12,31.2,,Amari Cooper,CLE,7,00-0031544,255.2313987994194,WR,16.998800196647643,238.23259860277176,8.0
63,70,WR29,72.5,,Allen Robinson,PIT,7,00-0031428,254.20100165486338,WR,16.998800196647643,237.20220145821574,9.0
42,44,WR18,44.5,,Kenny Golladay,,,00-0033932,253.3020004363358,WR,16.998800196647643,236.30320023968815,10.0
14,15,TE1,15.2,,Travis Kelce,KC,12,00-0030506,251.8324009370804,TE,16.59899981290102,235.23340112417938,11.0
34,35,WR14,35.2,,Julian Edelman,,,00-0027150,251.32619646549225,WR,16.998800196647643,234.3273962688446,12.0
203,232,WR74,365.4,,DeVante Parker,NE,10,00-0031547,239.70000349164008,WR,16.998800196647643,222.70120329499244,13.0
39,40,WR17,41.8,,Robert Woods,HOU,10,00-0030431,235.40000090956687,WR,16.998800196647643,218.40120071291923,14.0
31,32,RB15,32.3,,Aaron Jones,GB,11,00-0033293,304.0187977512181,RB,88.13559999167919,215.8831977595389,15.0
